event,window,start,axis,threshold,n_users,count,rate_per_100k,p99,p999,pmax,gini,top1pct_share,anchor_feature,anchor_median
E2,7,2024-11-11,coordinated,0.500000,318407,645,202.571,0.3689,0.5517,0.9856,0.7871,0.0909,co_action_size,24.0
E3,1,2024-10-31,superspreader,0.500000,256984,70,27.239,0.2969,0.4282,0.6686,0.5032,0.0568,influence_score,3055.0
E3,1,2024-10-31,amplifier,0.500000,256984,6124,2383.028,0.5696,0.7072,0.9199,0.5992,0.0475,repost_count,136.0
E3,1,2024-10-31,coordinated,0.500000,256984,354,137.752,0.3542,0.5181,0.7816,0.7594,0.0787,co_action_size,21.0
E3,2,2024-11-05,superspreader,0.500000,272317,97,35.620,0.2949,0.4357,0.7723,0.5032,0.0578,influence_score,3506.0
E3,2,2024-11-05,amplifier,0.500000,272317,7580,2783.521,0.5830,0.7169,0.9451,0.5821,0.0445,repost_count,124.0
E3,2,2024-11-05,coordinated,0.500000,272317,1230,451.679,0.4288,0.6166,0.8432,0.7277,0.0712,co_action_size,66.0
E3,3,2024-11-10,superspreader,0.500000,291386,100,34.319,0.2679,0.4217,0.7708,0.4937,0.0613,influence_score,3761.0
E3,3,2024-11-10,amplifier,0.500000,291386,4681,1606.460,0.5355,0.6710,0.8262,0.6187,0.0503,repost_count,123.0
E3,3,2024-11-10,coordinated,0.500000,291386,499,171.251,0.3626,0.5356,0.8855,0.7795,0.0866,co_action_size,14.3
E3,4,2024-11-15,superspreader,0.500000,359534,150,41.721,0.2739,0.4327,0.7937,0.5127,0.0647,influence_score,4222.0
E3,4,2024-11-15,amplifier,0.500000,359534,4743,1319.208,0.5193,0.6503,0.8661,0.6088,0.0497,repost_count,119.0
E3,4,2024-11-15,coordinated,0.500000,359534,577,160.486,0.3551,0.5327,0.9059,0.7980,0.0960,co_action_size,19.0
E3,5,2024-11-20,superspreader,0.500000,368855,175,47.444,0.2815,0.4421,0.8064,0.5209,0.0656,influence_score,4283.0
E3,5,2024-11-20,amplifier,0.500000,368855,6130,1661.900,0.5388,0.6732,0.8353,0.6132,0.0504,repost_count,124.0
E3,5,2024-11-20,coordinated,0.500000,368855,479,129.861,0.3585,0.5175,0.8885,0.7884,0.0886,co_action_size,11.0
E3,6,2024-11-25,superspreader,0.500000,306695,129,42.061,0.2728,0.4366,0.7892,0.5024,0.0625,influence_score,4768.0
E3,6,2024-11-25,amplifier,0.500000,306695,5338,1740.491,0.5438,0.6779,0.8663,0.6202,0.0513,repost_count,125.0
E3,6,2024-11-25,coordinated,0.500000,306695,459,149.660,0.3675,0.5233,0.8056,0.7784,0.0828,co_action_size,14.8
